,pdb_file,native,ml,weight_delta,r_free,r_work,r_all
0,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/0.pdb,0,4.5883188898380824,0.5199999809265137,0.14808039034346215,0.1493692819514472,0.14927770108831578
1,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/1.pdb,0,4.849491005459887,0.7000000178813934,0.1956486488609472,0.1978520514834194,0.19769581620088786
2,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/2.pdb,0,4.686881652365203,0.5800000131130219,0.16418771453396586,0.16586933755867875,0.16575013217918552
3,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/3.pdb,0,5.047819753948986,0.9000000357627869,0.24365077202556382,0.24716484770668756,0.24691441430789943
4,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/4.pdb,0,4.241834832756825,0.35999998450279236,0.10350795294538459,0.10409728470541757,0.10405522999902202
5,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/5.pdb,0,4.8954746155513265,0.7399999797344208,0.20570550259895265,0.20813688059405883,0.20796428247509113
6,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/6.pdb,0,0.0,0.0,3.0820079089647876e-05,3.124986705550528e-05,3.1219426701634306e-05
7,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/7.pdb,0,5.0311734622862545,0.8799999952316284,0.23909054234048338,0.24248185734854313,0.24224032119115857
8,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/8.pdb,0,4.389336703998182,0.42000001668930054,0.12033295518128236,0.12126942019275724,0.12120250136318983
9,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/9.pdb,0,4.343010426691447,0.40000003576278687,0.11472614412543375,0.11557183500145934,0.11551119738092948
10,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/10.pdb,0,2.4566671760028056,0.06000003218650818,0.017164157082254657,0.01717879135749227,0.0171776742040437
11,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/11.pdb,0,4.716905668697056,0.5999999940395355,0.16947743937568577,0.1713024700846079,0.17117311756389325
12,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/12.pdb,0,5.185127855586197,1.0999999940395355,0.2862221344395227,0.2906561212882071,0.29033969906072676
13,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/13.pdb,0,4.064671097705165,0.30000001192092896,0.08645898344478306,0.08679854865625496,0.08677433341975446
14,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/3ca7_refine_2/14.pdb,0,4.433273189872006,0.4400000274181366,0.12595050431054045,0.12693934602544452,0.12686879700745743
